Country (or dependency),Latitude,Longitude,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert Rate,Med. Age,Urban Pop %,World Share
Afghanistan,33.93911,67.709953,39074280,2.33%,886592,60,652860,-62920,4.6,18,25%,0.50%
Albania,41.153332,20.168331,2877239,-0.11%,-3120,105,27400,-14000,1.6,36,63%,0.04%
Algeria,28.033886,1.659626,43984569,1.85%,797990,18,2381740,-10000,3.1,29,73%,0.56%
American Samoa,-14.270972,-170.132217,55169,-0.22%,-121,276,200,,N.A.,N.A.,88%,0.00%
Andorra,42.546245,1.601554,77287,0.16%,123,164,470,,N.A.,N.A.,88%,0.00%
Angola,-11.202692,17.873887,33032075,3.27%,1040977,26,1246700,6413,5.6,17,67%,0.42%
Anguilla,18.220554,-63.068615,15026,0.90%,134,167,90,,N.A.,N.A.,N.A.,0.00%
Antigua and Barbuda,17.060816,-61.796428,98069,0.84%,811,223,440,0,2,34,26%,0.00%
Argentina,-38.416097,-63.616672,45267449,0.93%,415097,17,2736690,4800,2.3,32,93%,0.58%
Armenia,40.069099,45.038189,2964219,0.19%,5512,104,28470,-4998,1.8,35,63%,0.04%
Aruba,12.52111,-69.968338,106845,0.43%,452,593,180,201,1.9,41,44%,0.00%
Australia,-25.274398,133.775136,25550683,1.18%,296686,3,7682300,158246,1.8,38,86%,0.33%
Austria,47.516231,14.550072,9015361,0.57%,51296,109,82409,65000,1.5,43,57%,0.12%
Azerbaijan,40.143105,47.576927,10154978,0.91%,91459,123,82658,1200,2.1,32,56%,0.13%
Bahamas,25.03428,-77.39628,393893,0.97%,3762,39,10010,1000,1.8,32,86%,0.01%
Bahrain,25.930414,50.637772,1711057,3.68%,60403,2239,760,47800,2,32,89%,0.02%
Bangladesh,23.684994,90.356331,164972348,1.01%,1643222,1265,130170,-369501,2.1,28,39%,2.11%
Barbados,13.193887,-59.543198,287437,0.12%,350,668,430,-79,1.6,40,31%,0.00%
Belarus,53.709807,27.953389,9448772,-0.03%,-3088,47,202910,8730,1.7,40,79%,0.12%
Belgium,50.503887,4.469936,11598451,0.44%,50295,383,30280,48000,1.7,42,98%,0.15%
Belize,17.189877,-88.49765,398845,1.86%,7275,17,22810,1200,2.3,25,46%,0.01%
