Country (or dependency),Continent,Latitude,Longitude,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert Rate,Death Rate,Med. Age,Urban Pop %,World Share,Flag
Monaco,Europe,43.750298,7.412841,39290,0.71%,278,26337,1,,N.A.,N.A.,N.A.,N.A.,0,data/img/monaco.png
Macao,Asia,22.198745,113.543873,650846,1.39%,8890,21645,30,5000,1.2,4.002,39,N.A.,0.01,data/img/Macau.png
Singapore,Asia,1.352083,103.819836,5858322,0.79%,46005,8358,700,27028,1.2,4.6,42,N.A.,0.08,data/img/singapore.png
Hong Kong,Asia,22.396428,114.109497,7507523,0.82%,60827,7140,1050,29308,1.3,6.716,45,N.A.,0.1,data/img/hong_kong.png
Gibraltar,Europe,36.137741,-5.345374,33689,-0.03%,-10,3369,10,,N.A.,N.A.,N.A.,N.A.,0,data/img/flag_of_gibraltar.png
Bahrain,Asia,25.930414,50.637772,1711057,3.68%,60403,2239,760,47800,2,2.416,32,89%,0.02,data/img/bahrain.png
Holy See,Europe,41.902916,12.453389,801,0.25%,2,2003,0,,N.A.,N.A.,N.A.,N.A.,0,data/img/flag_of_holy_see_vatican_city.png
Maldives,Asia,3.202778,73.22068,542151,1.81%,9591,1802,300,11370,1.9,2.821,30,35%,0.01,data/img/maldives.png
Malta,Europe,35.937496,14.375416,441750,0.27%,1171,1380,320,900,1.5,8.385,43,93%,0.01,data/img/malta.png
Bangladesh,Asia,23.684994,90.356331,164972348,1.01%,1643222,1265,130170,-369501,2.1,5.545,28,39%,2.11,data/img/bangladesh.png
